,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"AQI_Lucknow, Uttar Pradesh (Talkatora District Industries Center, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.76444444444445,89.92615384615384,149.38266666666667,268.43107142857144,339.12666666666667,376.7632258064516,371.55064516129033,310.5081481481481,246.5758620689655,201.81199999999998,118.72535714285713,110.05,98.64967741935483,91.74724137931035,103.83666666666667,211.725,320.08233333333334,231.4217857142857,193.71233333333333,176.11555555555555,211.37709677419355,278.57300000000004,175.39233333333334,192.08862068965516,81.62266666666666,62.18322580645162,76.56689655172414,160.3986206896552,214.5537931034483,184.4744827586207,198.65851851851852,175.31607142857143,149.02037037037036
"AQI_Lucknow, Uttar Pradesh (Kendriya Vidyalaya, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.44111111111111,71.4451724137931,90.5882142857143,196.986,275.82866666666666,339.22433333333333,275.1941935483871,234.93880000000001,198.4083870967742,146.29266666666666,88.74433333333333,76.99166666666666,70.19037037037037,55.285806451612906,51.52148148148148,84.283,173.56965517241377,172.52032258064517,140.74419354838707,120.0175,135.85645161290324,155.8106896551724,119.92137931034482,124.53,64.07354838709678,41.190322580645166,54.482,99.78645161290324,146.63,160.75724137931036,159.91866666666667,142.5648148148148,100.15689655172415
"AQI_Varanasi, Uttar Pradesh (Ardhali Bazar, Varanasi )",,,,,,,,,,,,398.97681818181815,367.6544155844156,336.33201298701294,305.0096103896104,273.6872077922078,242.36480519480517,211.0424025974026,179.72,123.0938888888889,108.12062499999999,181.68411764705883,215.02548387096775,363.58,332.36199999999997,302.7191818181818,273.0763636363636,177.76,213.77875,251.36896551724138,188.75366666666665,83.11699999999999,104.64827586206897,137.12608695652173,231.7451851851852,335.83433333333335,362.44290322580645,392.2084,312.6784,271.708125,326.8680769230769,174.31476190476192,135.96766666666664,65.69392857142857,83.335,83.6108,225.1916,385.1089285714285,330.1209090909091,314.6370588235294,275.65333333333336,252.39923076923077,292.6847826086956,220.61380952380955,152.17392857142858,62.75599999999999,74.16,113.7523076923077,177.15275862068967,331.90535714285716,370.7683870967742,295.75709677419354,216.68928571428572,248.64935483870968,212.35764705882352,170.3293548387097,166.4633333333333,84.57384615384616,89.9425,142.78892857142858,217.01225806451615,336.21592592592594,312.95733333333334,263.1051612903226,230.89703703703705,216.74444444444447,270.8286956521739,264.35714285714283,195.90166666666664,115.11413793103448,72.5578947368421,73.79125,169.91233333333332,263.265,253.77775757575756,244.29051515151514,234.8032727272727,225.3160303030303,215.82878787878786,206.34154545454544,196.85430303030302,187.3670606060606,177.87981818181817,168.39257575757574,158.90533333333332,149.4180909090909,139.93084848484847,130.44360606060604,120.95636363636362,111.4691212121212,101.98187878787877,92.49463636363635,83.00739393939392,73.5201515151515,64.03290909090907,54.54566666666666,89.39064516129032,159.69799999999998,143.09612903225806,102.32620689655172,106.60719999999999,111.61096774193548,123.777,78.06517241379309,71.72571428571429,45.04925925925926,45.71068965517241,44.51862068965517,92.58481481481482,89.497,70.45064516129032,60.703548387096774,59.03740740740741,47.13633333333333
"AQI_Agra, Uttar Pradesh (Sanjay Palace, Agra )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.53,61.19,61.85,62.51,63.17,63.83,64.49,65.15,65.81,66.47,67.13,67.79,68.45,69.11,69.77,70.43,71.09,71.75,72.41,73.07000000000001,73.73,74.39,75.05,75.71000000000001,76.37,77.03,77.69,78.35,79.01,79.67,80.33,80.99000000000001,81.65,82.31,82.97,83.63,84.29,84.95,85.61,86.27000000000001,86.93,87.59,88.25,88.91,89.57000000000001,90.23,90.89,91.55000000000001,92.21000000000001,92.87,93.53,94.19,94.85,95.51,96.17,96.83000000000001,97.49000000000001,98.15,98.81,99.47,100.13,100.79,101.45,102.11000000000001,102.77000000000001,103.43,104.09,104.75,105.41,106.07,106.73,107.39,108.05000000000001,108.71000000000001,109.37,110.03,43.22851851851852,124.96791666666667,303.99833333333333,242.27285087719298,180.54736842105262,150.15818181818182,182.84194805194804,215.52571428571426,186.11533333333333,140.34831746031745,94.58130158730158,48.81428571428571,82.56416666666667,131.69416666666666,148.96615384615384,135.573,90.07931034482759,87.38115384615384,85.045
"AQI_Kanpur, Uttar Pradesh (Nehru Nagar, Kanpur )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.53454545454545,54.685,244.09392857142856,192.67806451612904,165.44,123.95928571428571,129.39777777777778,128.77177777777777,128.14577777777777,127.51977777777778,126.89377777777779,126.26777777777778,125.64177777777778,125.01577777777779,124.38977777777778,123.76377777777779,123.13777777777779,99.83166666666666,114.46416666666666
"AQI_Lucknow, Uttar Pradesh (Lalbagh, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.05368421052631,76.40827586206898,114.452,316.245,302.4106896551724,312.73709677419356,286.1236666666666,217.63888888888889,191.71806451612903,151.84099999999998,97.03633333333333,78.92965517241379,75.11516129032259,84.25612903225807,71.84294117647059,125.15633333333334,256.56107142857144,239.36793103448275,207.60655172413794,165.36892857142857,186.3974193548387,237.809,165.4590322580645,197.95833333333334,63.87307692307692,52.25096774193548,65.762,147.82433333333336,231.585,246.07774193548386,266.77483870967745,186.59599999999998,130.6989655172414
"AQI_Noida, Uttar Pradesh (Sector   62, Noida )",287.5912,287.93042795698926,288.2696559139785,288.60888387096776,288.948111827957,289.28733978494625,289.6265677419355,289.96579569892475,290.305023655914,290.64425161290325,290.9834795698925,291.32270752688174,291.661935483871,299.3942741935484,307.1266129032258,314.85895161290324,322.5912903225807,330.32362903225805,338.0559677419355,345.7883064516129,353.5206451612903,361.25298387096774,368.9853225806452,376.71766129032255,384.45,357.4944444444444,330.5388888888889,303.5833333333333,276.62777777777774,249.67222222222222,222.71666666666664,195.7611111111111,168.80555555555554,141.85,222.29387096774192,342.3233333333334,301.21,299.7108333333333,298.21166666666664,296.7125,295.2133333333333,293.71416666666664,292.21500000000003,290.71583333333336,289.2166666666667,287.71750000000003,286.21833333333336,284.7191666666667,283.22,260.36857142857144,237.51714285714286,214.6657142857143,191.81428571428572,168.96285714285713,146.11142857142858,123.26,117.5428125,111.825625,204.87935483870967,253.98379310344828,198.18291666666667,223.01379310344825,128.68666666666667,164.86076923076922,258.187,239.88000000000002,200.28318181818184,106.07333333333334,131.086,100.38714285714286,271.3086666666667,338.55100000000004,365.74357142857144,294.3833333333333,196.5,161.43833333333333,220.5044827586207,254.66931034482758,215.49655172413793,139.3474193548387,81.51344827586206,93.69793103448276,249.8493333333333,279.8722222222222,336.3015384615385,234.31677419354838,194.20214285714286,117.30655172413793,83.78285714285714,129.52777777777777,107.41518518518518,75.10833333333333,70.03714285714285,129.19,304.201,316.33666666666664,331.81966666666665,285.1470967741935,255.38592592592593,204.07238095238097,170.974,160.74927272727274,150.52454545454546,118.84678571428572,105.88481481481482,72.6204,187.964,416.1671428571429,359.4815789473684,281.585,200.1324,217.44296296296295,320.3913333333333,238.58896551724138,214.04714285714286,74.25153846153846,83.55391304347826,88.79299999999999,173.58758620689656,243.05423076923077,263.645,237.11880000000002,191.55869565217392,135.69129032258064
"AQI_Noida, Uttar Pradesh (Sector   125, Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.53185185185185,359.18615384615384,375.5373333333334,301.65535714285716,243.87791666666666,256.14079999999996,255.7751612903226,193.2637037037037,101.03033333333333,123.19225806451612,140.06040000000002,319.67548387096775,356.48466666666667,383.541,295.80290322580646,192.83928571428572,170.32433333333333,233.20758620689654,264.2152380952381,175.115,126.46,60.25,180.48619047619047,300.72238095238095,326.7404347826087,234.21,199.80666666666667,201.15259259259258,119.35423076923077,103.6447619047619,113.96999999999998,110.90948369565216,107.84896739130434,104.78845108695651,101.72793478260868,98.66741847826086,95.60690217391303,92.54638586956521,89.48586956521739,86.42535326086956,83.36483695652174,80.30432065217391,77.24380434782609,74.18328804347826,71.12277173913043,68.06225543478261,65.00173913043479,210.28222222222223,363.9269230769231,252.84176470588238,224.40133333333333,143.61333333333334,178.68761904761905,390.6488888888889,267.3784,246.47299999999998,83.10933333333332,79.77578947368421,94.62518518518519,233.16952380952384,248.3951724137931,228.67954545454543,248.19230769230768,259.48052631578946,167.81736842105263
"AQI_Ghaziabad, Uttar Pradesh (Vasundhara, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,409.28565217391304,366.6723333333333,390.06870967741935,317.2557692307692,268.06129032258065,273.61689655172415,278.3453333333334,212.04695652173913,107.85,112.61428571428571,125.25500000000001,336.23115384615386,338.44800000000004,371.47933333333333,285.98275862068965,202.86407407407407,178.08133333333333,288.21357142857147,296.1691666666667,250.45909090909092,149.65279999999998,89.39666666666666,91.58500000000001,273.3155172413793,300.0726923076923,319.15333333333336,255.91866666666667,228.4551724137931,126.84566666666666,109.798125,120.14925925925925,136.6208695652174,93.29111111111112,58.31,125.56666666666666,225.23103448275862,341.48040000000003,408.1788888888889,374.590987654321,341.00308641975306,307.4151851851852,262.4172413793104,156.80076923076925,171.29625000000001,119.77730769230769,116.88068965517242,83.25296296296295,239.53629629629629,382.11857142857144,260.9396551724138,204.4868181818182,215.48692307692306,269.41896551724136,307.33,246.58800000000002,250.872,89.30230769230769,95.90933333333332,107.36333333333333,197.81294117647056,331.75916666666666,340.79842105263157,309.0930769230769,228.26368421052632,160.36233333333334
"AQI_Moradabad, Uttar Pradesh (Lajpat Nagar, Moradabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.075625,203.543,179.32620689655172,204.0,168.11368421052632,207.05142543859648,245.98916666666665,222.75,87.495,95.48269230769232,107.61,212.41185185185185,220.71433333333334,304.94827586206895,286.7921428571429,186.27529411764704,166.89896551724138,217.45269230769233,273.4786666666667,162.73999999999998,93.1485,88.84083333333332,88.92518518518519,209.73708333333332,234.56300000000002,272.337,271.3512857142857,270.3655714285714,269.37985714285713,268.39414285714287,267.40842857142854,266.4227142857143,265.437,264.4512857142857,263.4655714285714,262.4798571428571,261.49414285714283,260.50842857142857,259.52271428571424,258.537,237.30136363636365,215.43684210526317,117.44333333333334,95.81058823529412,94.68047619047618,93.57734335839598,92.47421052631579,163.63733333333332,273.60033333333337,201.20555555555555,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334,106.47833333333334
"AQI_Lucknow, Uttar Pradesh (Nishant Ganj, Lucknow )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AQI_Greater Noida, Uttar Pradesh (Knowledge Park   III, Greater Noida )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.09833333333333,224.6032,99.5456,123.6616129032258,135.97433333333333,295.3357142857143,350.1744444444445,371.75967741935483,269.1228571428572,163.8904761904762,171.39193548387095,241.77233333333334,230.725,188.45466666666667,121.0232258064516,85.85133333333333,83.96964285714286,217.3109090909091,286.9235294117647,279.3465,234.18809523809523,192.56260869565216,103.85190476190476,88.90416666666665,114.45142857142856,70.88,67.3875,56.5225,131.06714285714284,278.71500000000003,269.6172222222222,346.47956521739127,274.66,240.61520000000002,206.5704,172.5256,138.4808,104.43599999999999,134.35679166666668,164.27758333333335,194.19837500000003,224.1191666666667,330.7986206896552,267.40291666666667,174.0525,147.89653846153846,226.28583333333333,357.93666666666667,206.29,230.74681818181818,63.335909090909084,74.39714285714285,95.48115384615386,219.11350000000002,421.6166666666666,314.4458333333333,248.9958333333333,203.375,173.042
"AQI_Bulandshahr, Uttar Pradesh (Yamunapuram, Bulandshahr )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.56363636363636,211.285,85.03777777777778,98.19769230769231,54.805,189.4275,324.05,358.23214285714283,320.836,155.15304347826086,162.138,197.238,233.85722222222225,162.8211111111111,90.16076923076922,57.797083333333326,64.19185185185185,218.31318181818185,251.6538888888889,234.6540909090909,180.6967857142857,187.7951851851852,118.1916129032258,143.21482758620692,155.32833333333335,131.7246153846154,84.46549999999999,56.629230769230766,126.78571428571429,308.7625,321.63413793103445,331.8793333333333,258.6433333333333,250.21,258.9092,243.347,116.2683870967742,117.20633333333333,77.1616129032258,74.849,55.258,152.5051724137931,359.6053333333333,264.36225806451614,188.53900000000002,169.40642857142856,225.2767741935484,309.115,168.76583333333335,115.68233974358975,62.598846153846154,71.318,84.25241379310346,206.96241379310345,169.35033333333334,160.81548387096774,154.9616129032258,140.92464285714286,107.00806451612904
"AQI_Muzaffarnagar, Uttar Pradesh (New Mandi, Muzaffarnagar )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88,123.37333333333332,88.66959999999999,51.370000000000005,215.67200000000003,304.1,327.6872727272727,248.5525806451613,157.885,142.68,199.95241379310343,202.19076923076923,151.16199999999998,61.99272727272727,67.30611111111111,67.96592592592593,185.0082142857143,174.71928571428572,164.43035714285716,154.14142857142858,155.562,118.01619047619049,113.0968,135.2732,119.01107142857143,77.00354838709679,61.11689655172414,118.98826086956522,243.60266666666666,402.62399999999997,354.0780952380952,305.53219047619046,256.9862857142857,208.44038095238096,159.8944761904762,111.34857142857143,137.7462068965517,110.86444444444444,98.24590909090908,71.49535714285715,147.33074074074074,259.97,197.89806451612904,184.6068,189.53692307692307,199.62464285714285,293.1768421052631,192.425,125.50607142857143,58.58714285714286,77.6683870967742,95.52916666666665,163.999375,178.43666666666667,215.10548387096776,177.1719230769231,167.02933333333334,62.95
"AQI_Baghpat, Uttar Pradesh (New Collectorate, Baghpat )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.39249999999998,121.55857142857143,87.32823529411765,247.78269230769232,302.06260869565216,268.428,194.70333333333335,142.97086956521738,145.0425,244.8396551724138,261.52344827586205,241.654,126.36483870967741,86.14766666666667,92.76551724137931,198.52193548387098,272.98,244.39785714285716,187.898,183.2014,178.5048,173.8082,169.11159999999998,164.415,85.12655172413794,53.57,121.8248275862069,308.2775862068965,335.72115384615387,310.21866666666665,274.32885714285715,238.4390476190476,202.54923809523808,166.65942857142858,130.76961904761907,94.87980952380954,58.99,100.27037037037037,52.538000000000004,170.2886956521739,349.49481481481484,211.39967741935484,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305,193.18692307692305
"AQI_Hapur, Uttar Pradesh (Anand Vihar, Hapur )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.816,315.60375,313.77142857142854,240.3751724137931,148.5262962962963,148.74666666666664,228.06571428571428,256.49533333333335,199.49983333333336,142.50433333333334,85.50883333333331,28.513333333333332,207.48333333333332,272.8446153846154,237.32920000000001,124.80233333333334,107.41103448275862,92.73444444444445,144.04888888888888,125.245,119.92988095238096,114.6147619047619,109.29964285714286,103.98452380952381,98.66940476190476,93.35428571428572,88.03916666666667,82.72404761904762,77.40892857142858,72.09380952380953,66.77869047619049,61.463571428571434,56.14845238095239,50.833333333333336,96.74882352941177,50.38037037037037,163.97620689655173,355.7336842105263,238.45916666666668,157.57774193548386,130.03357142857143,142.30580645161288,270.96464285714285,192.1510714285714,274.9465,59.18,68.029,108.635,107.50541666666668,106.37583333333333,105.24625,95.262,67.17153846153846,60.112307692307695
"AQI_Ghaziabad, Uttar Pradesh (Sanjay Nagar, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.81,195.5258064516129,294.24733333333336,304.0270967741936,216.46846153846155,83.57333333333334,93.12360000000001,87.53999999999999,240.7225925925926,278.7003846153846,283.0522222222222,208.77777777777777,186.08379310344827,120.0808695652174,123.01409090909091,132.97107142857143,109.52190476190476,79.02631578947368,54.245,117.91666666666667,281.1328571428572,318.3621428571428,341.79,290.2237037037037,316.5024,288.796,281.10333333333335,199.4975,363.86,110.16923076923078,106.44612903225806,66.27153846153846,217.7037037037037,335.7241379310345,247.7864285714286,209.577,232.595,280.6425,292.3,210.7,129.1,47.5,127.818,208.136,288.454,253.69714285714286,203.2276,179.57571428571427,162.89249999999998,143.13142857142856
"AQI_Ghaziabad, Uttar Pradesh (Indirapuram, Ghaziabad )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.65,188.8942857142857,275.68285714285713,261.582,205.28185185185183,109.85214285714287,88.44,85.87653846153846,219.52074074074073,264.77833333333336,325.168,226.9814814814815,199.43714285714285,114.32967741935484,101.05199999999999,124.41516129032257,125.10962962962964,77.43350000000001,54.97538461538461,122.96366666666667,289.8863636363636,332.31444444444446,330.3864,301.22038461538466,328.2055555555555,252.80354838709678,235.04433333333333,156.68565217391304,158.23791666666668,108.2976923076923,112.72655172413792,76.935,205.145,403.87142857142857,276.28363636363633,197.84304347826088,221.1625,243.9116129032258,214.4296666666667,164.20428571428573,142.637,63.931724137931035,87.98806451612903,92.31611111111111,369.0954545454546,246.82923076923078,213.2205,220.3988888888889,170.61555555555555,116.93387096774192
